vertical_transect,quadrat,per_sand,per_pebble,per_cobble,per_boulder,per_bedrock,per_moveable,per_unmoveable
1,1,52,0,48,0,0,100,0
1,2,41,7,52,0,0,100,0
3,3,0,15,0,0,85,15,85
5,1,5,10,50,35,0,65,35
5,2,0,10,60,30,0,70,30
5,3,0.5,20,79.5,0,0,100,0
5,4,0,10,80,10,0,90,10
4,1,0,5,95,0,0,100,0
4,2,0,4,96,0,0,100,0
4,3,0,0,100,0,0,100,0
6,1,0,45,55,0,0,100,0
6,2,0,12,88,0,0,100,0
6,3,0,54,33,13,0,87,13
2,1,0,30,10,40,20,40,60
2,2,1,25,30,70,0,56,70
2,3,0,30,5,65,0,35,65
1,3,35,0,40,25,0,75,25
1,4,87,0,13,0,0,100,0
3,1,0,38,62,0,0,100,0
3,2,0,5,45,10,0,50,10